Timestamp,Temperature (°C),Vibration (mm/s),Pressure (Pa),RPM,Maintenance Required,Temp_Change,Vib_Change
01-01-2019 00:00,0.548792914,0.509839684,0.619917628,0.741160774,1,0.501128987,0.499618725
01-01-2019 01:00,0.7151845,0.587573103,0.802120923,0.292861908,1,0.584882406,0.538629879
01-01-2019 02:00,0.602747885,0.294453377,0.965545883,0.624416278,1,0.444533871,0.352514186
01-01-2019 03:00,0.544862222,0.500040795,0.519955315,0.931954636,0,0.471992163,0.602794458
01-01-2019 04:00,0.423622381,0.031648882,0.323662906,0.799866578,0,0.440102756,0.264552401
01-01-2019 05:00,0.645882698,0.865978832,0.419912586,0.452301534,0,0.613004004,0.918334055
01-01-2019 06:00,0.43755611,0.906719226,0.017201246,0.158105404,0,0.39626753,0.520064626
01-01-2019 07:00,0.891784823,0.983592608,0.03009152,0.95263509,0,0.729765595,0.538198263
01-01-2019 08:00,0.963681377,0.875770362,0.422661774,0.883255504,0,0.53731821,0.445507247
01-01-2019 09:00,0.3834053,0.959767992,0.509735243,0.87191461,0,0.209046275,0.541773625
01-01-2019 10:00,0.791727405,0.106732183,0.0531685,0.675783856,0,0.706658445,0.071515706
01-01-2019 11:00,0.528872447,0.363972126,0.440721588,0,1,0.368820604,0.628716701
01-01-2019 12:00,0.568025789,0.22446798,0.755982609,0.404936624,1,0.520836871,0.429607425
01-01-2019 13:00,0.925611657,0.543682142,0.124559551,0.020680454,1,0.681120295,0.659818971
01-01-2019 14:00,0.070970315,0.90767955,0.442843198,0.202134757,0,0.070944164,0.682293811
01-01-2019 15:00,0.087065078,0.780548189,0.470590991,0.835223482,1,0.509230306,0.435816809
01-01-2019 16:00,0.020147852,0.543202719,0.378072189,0.255503669,0,0.467446115,0.380504955
01-01-2019 17:00,0.832626077,0.132394274,0.034356035,0.970647098,1,0.91009095,0.293451137
01-01-2019 18:00,0.778157836,0.051977729,0.10377964,0.552368245,0,0.473712327,0.459261023
01-01-2019 19:00,0.870021914,0.793337753,0.108956978,0.439626418,1,0.547368889,0.871676335
01-01-2019 20:00,0.978638372,0.524514575,0.193652202,0.271514343,1,0.555801221,0.364707608
01-01-2019 21:00,0.799161634,0.147225757,0.619675994,0.997331554,0,0.410789139,0.310273237
01-01-2019 22:00,0.461450519,0.674627062,0.491169595,0.246164109,1,0.331141661,0.764299397
01-01-2019 23:00,0.780530485,0.458442927,0.271025345,0.81521014,1,0.661738299,0.391124943
02-01-2019 00:00,0.118213147,0.673305192,0.923344662,0.443629086,1,0.1677507,0.607449116
02-01-2019 01:00,0.639909042,0.760949016,0.147821807,0.428952635,1,0.763725288,0.543603498
02-01-2019 02:00,0.143294379,0.132586172,0.240487273,0.652434957,1,0.251157355,0.184269677
02-01-2019 03:00,0.944685738,0.511046794,0.773327255,0.718478986,1,0.904510361,0.689552293
02-01-2019 04:00,0.521825183,0.964602182,0.299193423,0.091394263,1,0.288281581,0.727239218
02-01-2019 05:00,0.414628672,0.091186246,0.77346117,0.762508339,0,0.447171484,0.061287773
02-01-2019 06:00,0.264508158,0.706146899,0.727240758,0.619079386,0,0.425565632,0.808241774
02-01-2019 07:00,0.774234403,0.894215339,0.886815541,0.86257505,1,0.75770035,0.594002415
02-01-2019 08:00,0.456120985,0.724115158,0.176740351,0.133422282,0,0.341006187,0.414252554
02-01-2019 09:00,0.568415213,0.738526376,0.325552847,0.065376918,0,0.557652431,0.506851113
02-01-2019 10:00,0.01871912,0.444786088,0.120888614,0.338892595,0,0.224438749,0.352202752
02-01-2019 11:00,0.617621411,0.498627871,0.901852505,0.754503002,1,0.802587228,0.526639666
02-01-2019 12:00,0.612081113,0.799577607,0.219365634,0.048699133,0,0.49834027,0.650652819
02-01-2019 13:00,0.616919845,0.547281641,0.425419945,0.9006004,1,0.503564568,0.373001925
02-01-2019 14:00,0.943764813,0.218006262,0.672217445,0.240827218,0,0.665646823,0.334369175
02-01-2019 15:00,0.681812279,0.058412087,0.10661928,0.591060707,0,0.369274841,0.419525079
02-01-2019 16:00,0.35946942,0.51650979,0.016363432,0.705136758,1,0.338877292,0.729518816
02-01-2019 17:00,0.4370008,0.541860244,0.986984644,0.395597065,0,0.540154507,0.512341059
02-01-2019 18:00,0.69762467,0.183500466,0.45001954,0.285523682,0,0.632314348,0.319772931
02-01-2019 19:00,0.060158707,0.907317745,0.288882237,0.754503002,1,0.180259671,0.862872365
02-01-2019 20:00,0.666757273,0.027199846,0.207571178,0.932621748,0,0.806461157,0.057924338
02-01-2019 21:00,0.670628793,0.597687587,0.37043764,0.141427618,0,0.503077721,0.785922678
02-01-2019 22:00,0.210329987,0.855268154,0.630654915,0.681787859,1,0.269436989,0.628887646
02-01-2019 23:00,0.128866026,0.850318469,0.725387697,0.661107405,0,0.460123996,0.497134685
03-01-2019 00:00,0.315385705,0.32882438,0.293806163,0.290860574,0,0.595013908,0.237902639
03-01-2019 01:00,0.363672688,0.079422035,0.469145647,0.130753836,0,0.525434302,0.374454112
03-01-2019 02:00,0.570178201,0.672757163,0.953513423,0.294196131,1,0.605073803,0.797388827
03-01-2019 03:00,0.438570508,0.076746938,0.97438762,0.813875917,1,0.434884084,0.200506105
03-01-2019 04:00,0.98839479,0.145250422,0.228412106,0.931954636,0,0.777883748,0.533997761
03-01-2019 05:00,0.101981998,0.809418146,0.526333477,0.062041361,1,0.054951964,0.832936746
03-01-2019 06:00,0.20882404,0.348384176,0.727829815,0.751167445,0,0.554908066,0.268245045
03-01-2019 07:00,0.161252306,0.643327169,0.608075821,0.186791194,1,0.477183693,0.647638286
03-01-2019 08:00,0.653097592,0.822878357,0.841357006,0.981320881,1,0.748699946,0.589727962
03-01-2019 09:00,0.253243084,0.170780395,0.991790114,0.506337558,0,0.299861704,0.172358013
03-01-2019 10:00,0.466282386,0.174676662,0.067629152,0.314876584,1,0.608362594,0.501574099
03-01-2019 11:00,0.244376235,0.799577141,0.00630496,0.192128085,0,0.389432239,0.813230157
03-01-2019 12:00,0.158912151,0.449784262,0.356059279,0.566377585,0,0.458110529,0.324072299
03-01-2019 13:00,0.110313116,0.641080536,0.188941252,0.760507005,1,0.4766666,0.59562233
03-01-2019 14:00,0.656319161,0.507874033,0.376608637,0.507671781,0,0.775961834,0.432767949
03-01-2019 15:00,0.138123554,0.170009345,0.775802005,0.296197465,0,0.240294559,0.33005856
03-01-2019 16:00,0.196528484,0.714749759,0.801705594,0.122081388,0,0.530527183,0.773001171
03-01-2019 17:00,0.368687561,0.418207214,0.698457822,0.774516344,0,0.58778548,0.350796416
03-01-2019 18:00,0.820998363,0.355986643,0.898324087,0.669779853,0,0.728800212,0.468392821
03-01-2019 19:00,0.097037996,0.621356722,0.737000438,0.561707805,0,0.136722602,0.632796877
03-01-2019 20:00,0.837951642,0.756598291,0.692375313,0.202801868,0,0.874068826,0.567490817
03-01-2019 21:00,0.096035033,0.606427867,0.413524422,0.843895931,1,0.127684304,0.424254466
03-01-2019 22:00,0.976479291,0.545442933,0.94704493,0.245496998,1,0.944301739,0.469012936
03-01-2019 23:00,0.468623036,0.638268442,0.062543202,0.019346231,0,0.245498885,0.546203969
04-01-2019 00:00,0.976780942,0.423277034,0.027989563,0.836557705,1,0.756910924,0.391723524
